Om,normR,smin,smax,cond,stepnorm
1.1951512443260921e+00,9.2341881794914020e-06,7.1252709165038342e-02,5.6795187052864877e+00,7.9709512407891211e+01,4.3185940057228736e-05
1.1997900959341139e+00,3.2308821754605004e-04,6.2689323543865541e-02,5.7181005607903650e+00,9.1213307745923331e+01,2.9398624603446614e-03
1.1999983259718137e+00,3.5802950356813550e-05,7.1806702977261078e-02,5.7319802044096866e+00,7.9825141201996487e+01,1.8427358127519680e-04
1.2049711446755833e+00,1.1938312407772775e-03,5.4769238258352788e-02,5.7191805621405321e+00,1.0442322632209162e+02,4.3910472968713386e-03
1.2042853201373209e+00,4.3760426730767194e-06,5.3784969864119445e-02,5.7116337054089170e+00,1.0619386270622812e+02,5.4476898835548334e-05
1.2082644268799627e+00,1.9709494188303246e-04,5.8028325857677233e-02,5.7420937698372061e+00,9.8953290224510567e+01,2.3809983438299914e-03
1.2084159153174916e+00,4.9786364728857616e-07,5.8285646970458425e-02,5.7437718245704374e+00,9.8545218645022814e+01,5.4959921576708363e-06
1.2091646074552329e+00,4.7876649376174687e-05,5.0907847171039439e-02,5.7515696359934552e+00,1.1298002087319497e+02,1.1340258518511457e-03
1.2101280511266033e+00,1.0214805851842279e-03,6.3804346753218832e-02,5.8643073951803268e+00,9.1910781844725676e+01,4.4651555920715772e-04
1.2105127176385440e+00,3.1977181560173123e-07,6.4138438695179878e-02,5.8685070775251571e+00,9.1497504412532365e+01,5.8900805151784553e-07
1.2145965715798641e+00,2.8343195295621075e-04,4.5169105927023105e-02,5.8977405814115826e+00,1.3057023070016467e+02,5.1427677869875241e-03
1.2151940962856300e+00,4.2268593166948079e-06,4.6212581018632820e-02,5.9043317451071449e+00,1.2776459602476066e+02,5.9195987561108802e-05
1.2211934746620909e+00,3.4830581419124573e-03,5.7545000264291976e-02,5.9977295725561728e+00,1.0422677113580455e+02,4.3124690389977627e-02
1.2176620588566807e+00,1.6015676466304596e-03,6.5606787654954687e-02,5.9703165132797213e+00,9.1001506500811544e+01,1.3652226006689588e-02
1.2179447020130512e+00,7.4553687355280196e-06,6.9149697165695148e-02,5.9735225597982087e+00,8.6385375564040018e+01,1.1048012621429039e-04
1.2218568768671880e+00,1.3508120005585532e-04,8.1973462117813659e-02,6.0171498658021090e+00,7.3403632228612707e+01,1.4280071887113127e-04
1.2218398128648651e+00,7.5684621260269052e-08,8.1972616241325125e-02,6.0169641078690761e+00,7.3402123584238169e+01,7.5134910637395409e-07
1.2256516051451283e+00,2.8915596978384593e-04,8.1580930096341361e-02,6.0583856908293585e+00,7.4262277761173223e+01,2.6252386626513897e-03
1.2259317513951915e+00,8.9379975560582632e-07,8.2037513667921058e-02,6.0615126065888605e+00,7.3887083305878875e+01,6.1848333600022704e-06
1.2304400001739950e+00,3.1666273624894549e-04,6.7540535268572593e-02,6.1108183005328112e+00,9.0476308430683204e+01,3.7617216915061093e-03
1.2300307215882764e+00,1.9923572131120534e-06,6.6891227368646028e-02,6.1062218993470472e+00,9.1285840304512348e+01,2.0122556081230550e-05
1.2330515019762560e+00,1.0406425636713553e-03,7.4036160127909381e-02,6.1393071577246054e+00,8.2923089840396429e+01,3.7051002720684583e-03
1.2329153833990709e+00,4.7929938377662026e-07,7.3687223816673725e-02,6.1377569463919803e+00,8.3294723677772041e+01,4.6773704521732702e-06
1.2353091573939008e+00,1.5958674510791382e-04,6.6152845249822956e-02,6.1640123670084037e+00,9.3178340912326831e+01,2.5348298780643722e-03
1.2356063809922779e+00,9.0964935897471379e-07,6.6453354830882078e-02,6.1673429842096397e+00,9.2807097548423002e+01,5.9886190967825385e-06
1.2386102280652946e+00,8.1514268412204909e-04,5.7583342911455240e-02,6.1604125950207251e+00,1.0698254536026970e+02,8.4418714681476180e-03
1.2378371406959621e+00,7.0941380427930711e-06,5.6793094946232837e-02,6.1516525313630455e+00,1.0831690960295329e+02,6.8517144371089609e-05
1.2392930054629270e+00,9.5907702396659677e-05,4.8035556635301589e-02,6.1674138390829460e+00,1.2839267973737770e+02,2.4444209079518193e-03
1.2395551066439099e+00,7.4452585864860015e-07,4.8224751948131986e-02,6.1703599619012497e+00,1.2795006117476281e+02,2.6099104588049022e-06
1.2415944089066842e+00,9.9349512302288404e-04,4.7448510077857664e-02,6.1829996600443264e+00,1.3030966936366852e+02,7.5821734603829785e-03
1.2406959406750573e+00,9.2485108079785928e-06,4.6445461970171041e-02,6.1728392731461534e+00,1.3290511088275051e+02,6.3541536586244696e-05
1.2446345240879229e+00,3.0383206015657734e-04,4.2829971620405652e-02,6.2221368239263892e+00,1.4527529644595776e+02,4.7016714885271703e-03
1.2451563043444118e+00,3.3132005764773842e-06,4.3645441243116812e-02,6.2280468494295000e+00,1.4269638871875779e+02,3.7691949407312792e-05
1.2500892622194537e+00,1.8735156344025020e-03,5.1517562210732094e-02,6.2080392245432847e+00,1.2050335765402407e+02,2.7719578779391144e-02
1.2468097912830560e+00,1.4803014583680618e-04,4.7009504243159764e-02,6.1704198621756214e+00,1.3125898606074884e+02,2.2171466885473495e-03
1.2465156835787699e+00,3.4520688129674005e-06,4.8549007662157855e-02,6.1672191585971623e+00,1.2703079744726234e+02,6.9416097656165178e-05
1.2462228471135381e+00,1.6569870976239411e-05,3.8969229130202766e-02,6.1631645395899683e+00,1.5815464347518389e+02,4.3532162631976809e-04
1.2457862491887335e+00,2.1816438836947697e-03,3.9948976514532698e-02,6.1093991373129111e+00,1.5293005404257164e+02,2.0714755449827670e-02
1.2499658740844322e+00,2.4169863617432751e-04,4.4119245934767883e-02,6.1783766167601710e+00,1.4003812816509046e+02,1.3817655335044459e-04
1.2491132956088395e+00,9.0334407653895608e-06,4.3877455947695952e-02,6.1688258380897976e+00,1.4059214931338170e+02,1.1757720714025315e-04
1.2544795219084452e+00,1.1032971572774635e-03,3.9875449139646572e-02,6.2042474050982879e+00,1.5559065888814408e+02,1.2040845788681287e-02
1.2520090377340942e+00,4.6272333036001512e-04,4.4489330816151806e-02,6.1887632396435972e+00,1.3910668302065747e+02,3.1114237100489042e-04
1.2524528727462514e+00,4.3497610475353359e-06,4.5704421103786842e-02,6.1938087235308137e+00,1.3551880920810143e+02,8.7740483417369079e-05
1.2506023311168082e+00,5.7540580633871810e-04,4.0211449926037875e-02,6.1696151280150211e+00,1.5342931277939439e+02,6.3938048111125386e-03
1.2515367778961959e+00,8.1498431991937842e-06,4.0224309147736760e-02,6.1801140780390487e+00,1.5364127337378460e+02,3.7628523408930204e-05
1.2527987295539706e+00,8.9147316934834800e-05,3.1262122577641813e-02,6.1940874272274744e+00,1.9813393706214273e+02,3.2185050966919730e-03
1.2531777006329856e+00,1.5629647736328523e-06,3.1525391556445410e-02,6.1983571002950280e+00,1.9661475383095646e+02,8.8573558726198436e-06
1.2552772989251282e+00,1.0424081278301357e-03,4.4968620618898100e-02,6.2008362065918865e+00,1.3789251529734449e+02,6.5086591860507937e-03
1.2547948361369874e+00,3.4109622700373323e-06,4.4389557188831426e-02,6.1953693432747921e+00,1.3956817178688976e+02,3.1518958511814908e-05
1.2575820975265393e+00,1.4420340804952104e-04,3.7009463861317579e-02,6.2494500831444766e+00,1.6886086506312304e+02,3.3731921901009087e-03
1.2580010119054579e+00,1.7588445681035175e-06,3.7393051895882101e-02,6.2541932732959182e+00,1.6725549149371943e+02,1.8851343057155491e-05
1.2598982718614509e+00,1.2943864977395575e-04,2.8907186976961229e-02,6.2754251702614088e+00,2.1708875288567052e+02,5.4622605187470931e-03
1.2605143758841386e+00,1.5766965436831061e-04,4.1175079637599026e-02,6.2349942074796134e+00,1.5142640311461906e+02,1.1371366424837459e-03
1.2600503450862295e+00,8.1664786974864557e-05,4.0938279136839360e-02,6.2297252281134394e+00,1.5217359790063725e+02,2.0595692189924546e-03
1.2604784877243851e+00,1.0952967684228413e-04,3.0188839008455402e-02,6.2341781143001409e+00,2.0650605717411156e+02,3.8054540301213271e-03
1.2612110002394965e+00,1.0574079764447491e-03,3.0497075237874344e-02,6.2424874379447779e+00,2.0469134791628238e+02,6.6739203518137152e-03
1.2602191459334282e+00,1.0233842336536920e-05,3.0216259742679649e-02,6.2312592701812584e+00,2.0622205803254244e+02,4.5608571971067956e-05
1.2600366149948221e+00,3.6914230494924910e-04,3.2760818670090383e-02,6.2275400496012798e+00,1.9009109974674814e+02,8.8071647301053851e-03
1.2614312286159488e+00,1.7009268410855770e-05,3.3351820316307727e-02,6.2433270940692749e+00,1.8719599214848654e+02,2.6119239913375480e-05
1.2635287883182271e+00,5.4506981803888329e-04,4.4516328998603819e-02,6.2170644833602209e+00,1.3965806757235549e+02,5.7589249284033537e-03
1.2626524161264290e+00,7.6681425363227768e-06,4.3400419519716703e-02,6.2069213779964372e+00,1.4301523917704640e+02,5.8043821121312667e-05
1.2682062796526579e+00,5.9725765197735981e-04,5.5629298340925969e-02,6.2696131997880205e+00,1.1270343841772893e+02,4.5623175797537109e-03
1.2677544386264352e+00,3.2776844812530667e-05,7.7811704092810172e-02,6.3382091419301956e+00,8.1455729775179776e+01,2.0262854627561662e-04
1.2677647190036623e+00,1.9305579673618757e-07,7.7883211619765622e-02,6.3383334913504390e+00,8.1382538797897524e+01,6.0314915270713899e-07
1.2710654509858512e+00,1.9085631483188731e-03,4.7253335849116694e-02,6.3034604137063788e+00,1.3339715176583050e+02,2.1400385651189749e-02
1.2674177830019402e+00,1.2835561474937098e-04,4.5215249231455069e-02,6.2619317923206621e+00,1.3849159075218367e+02,9.7900354296333422e-04
1.2672939653978788e+00,8.1633040823224966e-07,4.6227930663421499e-02,6.2605150533486622e+00,1.3542711005021005e+02,1.6989703560898644e-05
1.2664741783704152e+00,5.5610620912965809e-05,3.5260173159290947e-02,6.2513495108618953e+00,1.7729208199349651e+02,1.4911539465268567e-03
1.2662182112136366e+00,6.6246649791288396e-07,3.5304092398674096e-02,6.2484406527341081e+00,1.7698913151974355e+02,1.9366894271153590e-06
1.2648014898701518e+00,9.7469182612299846e-05,2.4753055715395000e-02,6.2326346360948168e+00,2.5179253453618944e+02,3.7099011484865605e-03
1.2641594638439684e+00,3.8057599587730398e-06,2.5027714681751884e-02,6.2253472398183778e+00,2.4873814165531383e+02,1.0958365221227959e-05
1.2612224125471263e+00,1.2050394852169796e-03,4.2827253472315405e-02,6.1982752847545495e+00,1.4472735891787383e+02,2.1312541462087605e-02
1.2650006616255089e+00,1.2976545487530518e-04,4.2711481123428277e-02,6.2411586234206426e+00,1.4612367586562613e+02,6.7353073757126891e-04
1.2649217171837541e+00,4.4702167681629611e-07,4.3636716008608148e-02,6.2402216185433863e+00,1.4300392397338945e+02,1.0447962052543625e-05
1.2665010564770853e+00,1.4694792278556370e-03,7.5314017226347493e-02,6.2362303777055841e+00,8.2803050579061818e+01,6.2227616748811859e-04
1.2667504679286306e+00,6.2209985013195760e-07,7.5332231145443240e-02,6.2389820691551545e+00,8.2819557768169773e+01,7.1741902095754678e-07
1.2660900598720624e+00,9.4124229793876568e-04,6.1653863751041940e-02,6.1877834309875714e+00,1.0036327092124861e+02,2.5305769718329736e-03
1.2666067968877979e+00,2.4579133747162704e-06,6.1641603509560841e-02,6.1936988978696181e+00,1.0047919822379301e+02,6.1209976925094107e-07
1.2665388508828668e+00,5.9570879800541156e-04,6.1220165121144351e-02,6.2072615897774153e+00,1.0139243462500133e+02,5.9968395438763323e-03
1.2675999586879472e+00,9.3114648173485069e-06,6.1640785987452450e-02,6.2193852548577047e+00,1.0089724125392752e+02,6.5505324265618936e-06
1.2696093129588646e+00,1.4313611882561740e-04,5.1963377364118137e-02,6.2417646340351247e+00,1.2011853252527811e+02,2.6627056750741849e-03
1.2700042505186027e+00,1.6932526849662294e-06,5.2310730833834473e-02,6.2463085735422741e+00,1.1940778639441555e+02,6.7368795069436665e-06
