Om,normR,smin,smax,cond,stepnorm
1.2688109458374668e+00,3.8427847240613520e-04,4.3448501142402333e-02,6.1821427668396343e+00,1.4228667512781809e+02,7.9113826223683700e-04
1.2687576869982256e+00,1.4950573159934809e-07,4.3449873170512916e-02,6.1817731877044189e+00,1.4227367623019103e+02,1.6689640408221217e-07
1.2691828041601112e+00,3.8513376737180468e-04,4.3451126174299595e-02,6.1846401613611626e+00,1.4233555504527394e+02,7.8423743713218279e-04
1.2691293704456204e+00,1.4901844752620056e-07,4.3451213318203313e-02,6.1842678350593738e+00,1.4232670074758434e+02,1.4275951662961990e-07
1.2694474239147160e+00,3.8584716209067908e-04,4.3405523883784589e-02,2.6030218700661525e+01,5.9969829578271435e+02,7.7836586193216729e-04
1.2693938230825796e+00,1.4816464704670497e-07,4.3431891007948573e-02,6.2091359509332706e+00,1.4296259745625449e+02,1.1972627270168406e-07
1.2696045147766981e+00,3.8641667331462025e-04,4.3403860517919737e-02,2.2870195299520606e+01,5.2691615507515530e+02,7.7349636396836807e-04
1.2695507515112401e+00,1.4802590754000792e-07,4.3455464666061913e-02,6.1863026951743212e+00,1.4235960293402945e+02,9.7911631106463143e-08
1.2696537933040293e+00,3.8684230081627129e-04,4.3461907490899794e-02,6.1862142882554547e+00,1.4233646531852625e+02,7.6959771810951468e-04
1.2695998722051058e+00,1.4775580407794976e-07,4.3458184039132139e-02,6.1858346890103411e+00,1.4233992574195634e+02,7.6634374904944328e-08
1.2695949819089536e+00,3.8712260407677823e-04,3.7811502270982587e-02,7.3357659908357578e+00,1.9400884784377882e+02,7.6662832318038902e-04
1.2695409093517751e+00,1.4756780357023649e-07,3.2679838069867254e-02,6.1843736460849348e+00,1.8924125734231509e+02,5.7797098109691623e-08
1.2694278172405726e+00,3.8725550073664440e-04,3.2291031423250939e-02,7.7106959821048529e+00,2.3878754075823105e+02,7.6463161903071025e-04
1.2693735887165190e+00,1.4582999465840258e-07,4.2312817907480496e-02,6.1843797499764790e+00,1.4615854144951996e+02,5.3886050723196187e-08
