Om,normR,smin,smax,cond,stepnorm
1.2442549001720316e+00,3.4688150786155316e-04,4.3647798867969802e-02,6.6380407362864409e+00,1.5208191268397854e+02,1.1750238751085393e-03
1.2442085379958734e+00,1.6141315777963173e-07,4.3557223791401804e-02,5.9779334031053226e+00,1.3724321439157853e+02,9.1640062984199552e-07
1.2464755645005792e+00,3.4989367553047682e-04,3.7043190888705370e-02,6.0343257163590049e+00,1.6289972790111062e+02,1.1524124581432438e-03
1.2464284599879778e+00,1.6434972419868343e-07,4.3707637074320224e-02,1.8157270508300865e+01,4.1542558060108217e+02,8.9545484338880351e-07
1.2486002064645811e+00,3.5282086957195551e-04,4.3614829731673938e-02,6.5953858560440004e+00,1.5121888349948784e+02,1.1106661571506293e-03
1.2485524363574185e+00,1.6194593933828035e-07,3.7466373488710826e-02,6.2109686597535312e+00,1.6577448205989268e+02,8.5481375384486039e-07
1.2506276193432533e+00,3.5565613239374206e-04,3.8116244117823529e-02,6.2469893073626004e+00,1.6389309733803091e+02,1.0729803657812361e-03
1.2505792349520979e+00,1.6133916455248600e-07,4.3494294941010772e-02,6.4305671079447322e+00,1.4784851936710785e+02,6.8936174568061390e-07
1.2525566901253649e+00,3.5839337011461689e-04,4.3571999283904074e-02,6.0605004271419007e+00,1.3909163055964498e+02,1.0389185490458973e-03
1.2525077374977609e+00,1.6036216402090300e-07,4.3592814422337332e-02,6.0471119165627529e+00,1.3871808913223461e+02,6.7157313443746796e-07
1.2543864068535511e+00,3.6102453892991235e-04,4.3545327049632251e-02,6.0629577911427042e+00,1.3923325881172610e+02,1.0078983790608336e-03
1.2543369493852665e+00,1.5925268700463674e-07,4.3564444846794954e-02,6.0626461872984079e+00,1.3916500505444725e+02,6.1841116624310029e-07
1.2561158729337061e+00,3.6355043719705241e-04,4.2435854669387069e-02,4.0514173780100734e+01,9.5471563129203048e+02,9.7974287243980120e-04
1.2560659527626692e+00,1.5783584085155503e-07,4.3540286290772910e-02,6.0773136969434409e+00,1.3957909363198996e+02,5.6803999131460277e-07
1.2577442610475680e+00,3.6596510454487021e-04,4.3501970649842535e-02,6.1732525092333823e+00,1.4190742205504495e+02,9.5415897260234207e-04
1.2576939170761110e+00,1.5741290790479402e-07,4.3519898707333533e-02,6.0911012677587708e+00,1.3996129238996505e+02,5.2403469831311956e-07
1.2592708183320849e+00,3.6826443557252524e-04,4.3488064643279478e-02,6.1043266627455388e+00,1.4036786214373151e+02,9.3088150478579427e-04
1.2592200893840388e+00,1.5643863097494948e-07,4.3502880834855755e-02,6.1039968327313145e+00,1.4031247392335032e+02,4.8135256089579867e-07
1.2606948648489711e+00,3.7044510030200456e-04,4.3475448458206334e-02,6.1163241122541905e+00,1.4068455482716672e+02,9.0971784607173718e-04
1.2606437835030213e+00,1.5557555749011123e-07,4.3488863299742941e-02,6.1159890036981368e+00,1.4063345278868871e+02,4.4155831854472321e-07
1.2620157786456989e+00,3.7250372403909403e-04,4.3465474451717619e-02,6.1274075101110101e+00,1.4097183080142071e+02,8.9048630630381316e-04
1.2619643745225739e+00,1.5474515975029506e-07,4.3344784431249055e-02,6.6096264473433406e+00,1.5248954479926277e+02,4.0375581412137148e-07
1.2632329919905521e+00,3.7443730263804714e-04,4.3457830428757657e-02,6.1375669994748856e+00,1.4123040517488488e+02,8.7302977931752034e-04
1.2631812917591849e+00,1.5395864510892975e-07,4.3468486790903219e-02,6.1372223539757220e+00,1.4118785370877177e+02,3.6899373280707534e-07
1.2643459862870987e+00,3.7624353943411967e-04,4.3452230956478800e-02,6.1467937220062927e+00,1.4146094657746900e+02,8.5721760085370410e-04
1.2642940126347768e+00,1.5321124884908145e-07,4.3461525598031174e-02,6.1464447457726283e+00,1.4142266432660765e+02,3.3574660092275878e-07
1.2653542828561042e+00,3.7791959276079672e-04,4.3448414358675108e-02,6.1550794354458578e+00,1.4166407511755159e+02,8.4292479173439733e-04
1.2653020570792295e+00,1.5249986268054108e-07,4.3456361097766363e-02,6.1547263905019900e+00,1.4163004529199617e+02,3.0417228418321188e-07
1.2662574426210012e+00,3.7946365528388035e-04,3.2740803342061572e-02,6.4505410454072454e+00,1.9701841088060112e+02,8.3006266981920098e-04
1.2662049812069778e+00,1.5195813474260321e-07,4.3452752325029140e-02,6.1620595198062107e+00,1.4181056872332604e+02,2.8109481439632225e-07
1.2670550552183262e+00,3.8087306000959712e-04,4.3445198840248465e-02,6.1687973561009084e+00,1.4199031241136859e+02,8.1850408039355743e-04
1.2670023781145021e+00,1.5119285072239780e-07,4.3450484844429954e-02,6.1684371091438015e+00,1.4196474748738163e+02,2.4557794322008003e-07
1.2677467456606584e+00,3.8214687325675617e-04,4.3166342402741559e-02,1.5088942478504249e+01,3.4955341682009009e+02,8.0822477429217440e-04
1.2676938623273690e+00,1.5063527032408542e-07,4.3449360941649862e-02,6.1738524614151951e+00,1.4209305563104471e+02,2.1940657117520996e-07
1.2683321530744140e+00,3.8328208300582078e-04,4.1114698807286881e-02,9.6018730777548669e+00,2.3353869434288785e+02,7.9911200515292717e-04
1.2682790779941258e+00,1.5002129631477338e-07,4.3449209218710906e-02,6.1782996575109896e+00,1.4219590571628575e+02,1.9100885034827962e-07
